t̪eːɾeː t̪eːɾiː eː iː
ɑː eː ɑː eː
jeː keː j k
jeː ɦeː j ɦ
jeː peː j p
jeː jɑː eː ɑː
jeː ɾeː j ɾ
jeː leː j l
keː kiː eː iː
keː ɦeː k ɦ
keː peː k p
keː koː eː oː
keː kɑː eː ɑː
keː jeː k j
keː ɾeː k ɾ
keː leː k l
lɪeː kɪeː l k
s̪ɑːleː kʰɑːleː s̪ kʰ
əbeː əɾeː b ɾ
kəɦɑ̃ː jəɦɑ̃ː k j
kəɦɑ̃ː kəɦĩː ɑ̃ː ĩː
pəɪs̪eː kəɪs̪eː p k
ɦeː peː ɦ p
ɦeː keː ɦ k
ɦeː ɦoː eː oː
ɦeː jeː ɦ j
ɦeː ɦiː eː iː
ɦeː ɾeː ɦ ɾ
ɦeː ɦɛ̃ eː ɛ̃
ɦeː leː ɦ l
peː keː p k
peː jeː p j
peː ɾeː p ɾ
peː leː p l
ɾəɦɑː ɾəɦiː ɑː iː
ɾəɦɑː ɾəɦeː ɑː eː
ɾəɦɑː kəɦɑː ɾ k
lɑːkʰə lɑːt̪ə kʰ t̪
d̪eː s̪eː d̪ s̪
d̪eː n̪eː d̪ n̪
d̪eː d̪oː eː oː
d̪eː d̪iː eː iː
jɑːɾə bɑːɾə j b
jɑːɾə mɑːɾə j m
kɑːmə keːmə ɑː eː
pɪt̪ɑː pət̪ɑː ɪ ə
s̪oː s̪eː oː eː
s̪oː d̪oː s̪ d̪
s̪oː t̪oː s̪ t̪
s̪oː s̪iː oː iː
s̪oː ɑːoː s̪ ɑː
meːɾeː meːɾɑː eː ɑː
meːɾeː meːɾiː eː iː
un̪əkɑː us̪əkɑː n̪ s̪
un̪əkɑː un̪əkoː ɑː oː
koː kɑː oː ɑː
koː ɦoː k ɦ
koː kiː oː iː
koː keː oː eː
koː ʋoː k ʋ
koː loː k l
jɑː kɑː j k
jɑː jeː ɑː eː
t̪ʰeː t̪ʰoː eː oː
t̪ʰeː t̪ʰɑː eː ɑː
t̪ʰeː t̪ʰiː eː iː
ʋɑːlɑː ʋɑːleː ɑː eː
jəɦɑ̃ː kəɦɑ̃ː j k
n̪eː s̪eː n̪ s̪
n̪eː n̪ɑː eː ɑː
n̪eː d̪eː n̪ d̪
bɑːt̪ə lɑːt̪ə b l
kəɾən̪iː kəɾən̪ɑː iː ɑː
kəɾən̪iː kəɾən̪eː iː eː
boːlə bɑːlə oː ɑː
ʈoːkən̪eː ʈoːkən̪ɑː eː ɑː
əpən̪ɑː əpən̪eː ɑː eː
əpən̪ɑː əpən̪iː ɑː iː
ʈoːkən̪ɑː ʋoːkən̪ɑː ʈ ʋ
keːmə kɑːmə eː ɑː
d̪oː t̪oː d̪ t̪
d̪oː d̪iː oː iː
d̪oː ɑːoː d̪ ɑː
d̪oː d̪eː oː eː
n̪ɑː n̪eː ɑː eː
t̪ʰoː t̪ʰɑː oː ɑː
t̪ʰoː t̪ʰiː oː iː
kəɾən̪ɑː kəɦən̪ɑː ɾ ɦ
kəɾən̪ɑː kəɾən̪eː ɑː eː
kəɾən̪ɑː kəɾən̪iː ɑː iː
kəɾən̪ɑː ʋəɾən̪ɑː k ʋ
kəɾən̪ɑː kəɾət̪ɑː n̪ t̪
d͡ʒɑː d͡ʒiː ɑː iː
d͡ʒɑː d͡ʒoː ɑː oː
əpən̪eː əpən̪iː eː iː
əpən̪eː əpən̪ɑː eː ɑː
ɦẽː mẽː ɦ m
kəɦə kəɾə ɦ ɾ
t̪ʰɑː t̪ʰiː ɑː iː
t̪ʰɑː t̪ʰoː ɑː oː
us̪əkɑː us̪əkeː ɑː eː
əɾeː əbeː ɾ b
kəɦən̪ɑː kəɾən̪ɑː ɦ ɾ
ɾəɦeː ɾəɦiː eː iː
ɾəɦeː ɾəɦɑː eː ɑː
ɾɪʃt̪ɑː ɾɪʃt̪eː ɑː eː
ləɽəkiː ləɽəkɑː iː ɑː
d͡ʒiː d͡ʒoː iː oː
kəɦɑː ɾəɦɑː k ɾ
kəɦɑː kəɾɑː ɦ ɾ
əpən̪iː əpən̪eː iː eː
əpən̪iː əpən̪ɑː iː ɑː
kəɾən̪eː kəɾən̪iː eː iː
kəɾən̪eː kəɾən̪ɑː eː ɑː
ɾɪʃt̪eː ɾɪʃt̪ɑː eː ɑː
kəɾə pəɾə k p
kəɾə kəɦə ɾ ɦ
ɾəkʰiː ɾəkʰɑː iː ɑː
ɾeː keː ɾ k
ɾeː leː ɾ l
ɾeː jeː ɾ j
ɾeː peː ɾ p
s̪iː d̪iː s̪ d̪
s̪iː s̪eː iː eː
s̪iː bʰiː s̪ bʰ
s̪iː t̪iː s̪ t̪
d̪iː bʰiː d̪ bʰ
d̪iː t̪iː d̪ t̪
d̪iː d̪eː iː eː
d̪iː d̪oː iː oː
bɑːlə bɑːɾə l ɾ
bɑːlə boːlə ɑː oː
kɑːleː ʋɑːleː k ʋ
əɪs̪iː əɪs̪eː iː eː
əɪs̪iː kɪs̪iː ə k
əɪs̪iː əɪs̪ɑː iː ɑː
əɪs̪eː əɪs̪ɑː eː ɑː
bɑːɾə mɑːɾə b m
loː ʋoː l ʋ
loː ɦoː l ɦ
loː leː oː eː
loː koː l k
loː liː oː iː
ɪt̪ən̪ɑː ɪt̪ən̪eː ɑː eː
ɪt̪ən̪ɑː ɪt̪ən̪iː ɑː iː
ɪt̪ən̪eː ɪt̪ən̪iː eː iː
ɪn̪əkeː ɪs̪əkeː n̪ s̪
ɦoːn̪eː ɦoːt̪eː n̪ t̪
ɪs̪ə us̪ə ɪ u
leː loː eː oː
leː ɾeː l ɾ
leː jeː l j
leː peː l p
leː keː l k
leː liː eː iː
ɑːoː t̪oː ɑː t̪
ɑːoː d̪oː ɑː d̪
pəɦəliː pəɦəleː iː eː
t̪iː bʰiː t̪ bʰ
t̪iː t̪oː iː oː
t̪iː t̪uː iː uː
ɦoːgəjeː ɦoːgəjiː eː iː
us̪əkeː ɪs̪əkeː u ɪ
əɪs̪ɑː əɪs̪eː ɑː eː
eː ɑː eː ɑː
pəɾə kəɾə p k
ɦueː ɦuɑː eː ɑː
ʋəɾən̪ɑː kəɾən̪ɑː ʋ k
kɪeː lɪeː k l
us̪ə ɪs̪ə u ɪ
d͡ʒoː d͡ʒiː oː iː
kəɾeː kəɾɑː eː ɑː
lɑːt̪ə bɑːt̪ə l b
t̪əbə t̪əkə b k
liː leː iː eː
liː ɦiː l ɦ
